"island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex"
"Biscoe",50,20.1,208,3400,"male"
"Torgersen",50.8,19.1,180,4300,"male"
"Biscoe",50.4,18.6,193,3800,"female"
"Torgersen",53.5,17.6,188,3700,"female"
"Dream",45.4,19.2,187,3200,"female"
"Dream",46.7,18.5,195,3400,"female"
"Biscoe",51.5,16.1,201,4400,"female"
"Dream",35.3,18,224,4450,"female"
"Dream",36.5,16.9,230,4250,"male"
"Biscoe",37.6,15,197,3800,"male"
"Torgersen",46.4,16.3,186,4775,"male"
"Dream",48.5,20,196,4650,"female"
"Biscoe",48.1,16.9,212,5650,"female"
"Dream",45.3,14.6,185,3650,"female"
"Biscoe",40.9,14.2,185,5700,"female"
"Biscoe",51.5,18.6,214,3950,"male"
"Torgersen",47.6,18.2,218,2850,"female"
"Dream",36.4,18.9,180,3300,"male"
"Biscoe",48.1,19.7,201,3425,"male"
"Torgersen",45.1,15,198,5850,"male"
"Dream",50.5,17.1,207,5400,"male"
"Biscoe",49.3,14.7,216,4300,"female"
"Dream",39.6,17,178,5400,"male"
"Biscoe",51.3,19.5,187,3725,"female"
"Biscoe",41,18.9,215,5950,"male"
"Biscoe",41.3,17.2,197,3200,"female"
"Biscoe",36.6,19.4,176,3350,"male"
"Torgersen",50,16.6,195,4250,"female"
"Biscoe",43.1,19.3,209,3650,"female"
"Biscoe",40.2,13.9,191,5700,"male"
"Dream",50.1,16.1,196,3400,"male"
"Dream",51.5,18.9,214,4400,"female"
"Biscoe",37,18.5,194,3450,"female"
"Biscoe",40.2,18.1,201,4200,"male"
"Biscoe",49.8,20,190,3275,"male"
"Biscoe",40.6,13.5,191,4775,"male"
"Dream",45.2,17.1,201,3950,"female"
"Biscoe",36,16.8,217,3350,"male"
"Biscoe",49.1,15.7,193,5100,"male"
"Biscoe",50.8,18.7,195,5350,"male"
"Biscoe",45.1,13.1,199,3700,"male"
"Biscoe",50.2,18.2,217,5700,"female"
"Dream",37.3,15.5,187,5400,"male"
"Biscoe",45.2,18.9,178,4450,"female"
"Biscoe",37.3,15,231,3300,"male"
"Dream",43.3,19.1,197,3900,"male"
"Biscoe",40.5,14.3,184,4450,"male"
"Dream",49.5,18.1,191,4450,"male"
"Biscoe",40.2,14.4,218,4200,"female"
"Dream",46.1,18.5,207,4750,"male"
"Torgersen",44.1,15.2,215,4600,"male"
"Torgersen",47.4,17.5,196,3900,"male"
"Biscoe",39.7,17,220,3475,"male"
"Torgersen",49.8,17.2,187,3600,"male"
"Torgersen",47.5,14.5,202,3300,"female"
"Biscoe",44.9,20.7,190,5750,"male"
"Biscoe",42.7,19.2,192,4300,"male"
"Biscoe",42.2,19.8,217,3325,"male"
"Biscoe",35,20,190,3600,"male"
"Dream",39.5,17.8,203,4275,"female"
"Biscoe",49.1,17.3,220,5400,"male"
"Biscoe",36,13.9,217,4150,"male"
"Dream",43.3,18.3,219,4950,"female"
"Biscoe",39.6,19.2,197,3950,"male"
"Biscoe",44.4,18.3,187,3800,"female"
"Biscoe",49.7,17.8,181,3150,"female"
"Dream",35.9,17.3,190,5500,"female"
"Dream",38.6,15.3,184,5400,"male"
"Biscoe",51.5,16.3,196,3950,"female"
"Torgersen",49,17,185,3950,"female"
"Biscoe",50.5,17.9,189,4700,"male"
"Dream",34,13.2,222,4200,"male"
"Dream",41.1,16.6,187,4725,"female"
"Biscoe",41.6,13.1,191,4900,"male"
"Biscoe",40.8,17.6,222,3400,"female"
"Dream",46.6,15.7,201,4750,"male"
"Dream",39.2,20,198,5250,"male"
"Biscoe",51.1,14.6,198,4450,"male"
"Biscoe",46.2,15,195,3650,"female"
"Torgersen",39.6,17.5,193,4300,"female"
"Dream",49.6,13.5,210,3950,"female"
"Biscoe",47.2,14.2,212,3450,"female"
"Torgersen",42.9,13.5,215,4100,"female"
"Dream",49.6,14.5,181,4850,"female"
"Biscoe",51,18.2,190,4875,"female"
"Biscoe",49.5,18.5,217,3050,"female"
"Biscoe",45.9,17.2,190,3725,"female"
"Biscoe",38.6,17.5,187,3350,"female"
"Dream",47.6,13.8,203,4400,"male"
"Biscoe",48.1,19.1,188,4400,"female"
"Biscoe",38.2,17.9,203,3800,"male"
"Biscoe",42.2,16.5,181,5300,"female"
"Dream",50.8,17,220,4475,"male"
"Biscoe",35.5,14.8,196,3950,"female"
"Dream",45.7,16.7,191,4000,"male"
"Biscoe",40.6,13.6,199,3400,"female"
"Torgersen",50,19.9,218,4000,"female"
"Torgersen",44.1,13.7,198,4300,"female"
"Biscoe",59.6,17.4,209,4450,"male"
"Torgersen",45.2,15,230,3250,"female"
"Biscoe",45.5,15.7,214,3275,"male"
"Biscoe",43.3,13.7,196,4725,"female"
"Biscoe",42,19.1,210,3325,"male"
"Dream",49.2,17.8,201,4275,"female"
"Torgersen",49,18.5,220,3250,"female"
"Dream",35.3,13.4,210,3950,"female"
"Torgersen",49.2,18.9,190,5950,"male"
"Biscoe",37.5,18.9,187,3200,"female"
"Biscoe",47.3,18.9,194,3750,"female"
"Torgersen",45.8,17.5,220,4975,"female"
"Dream",40.1,17.1,182,4650,"female"
"Biscoe",50.2,18.2,218,4000,"male"
"Biscoe",45.3,17.6,218,5600,"male"
